signal_date,rank_ic
2016-01-29,0.04857829276068266
2016-02-29,-0.28631968341808656
2016-03-31,0.0005898903089963404
2016-04-29,0.006872903960609824
2016-05-31,-0.022786934959780243
2016-06-30,-0.21500805304822646
2016-07-29,-0.1501154534598171
2016-08-31,0.06170221527366099
2016-09-30,-0.09377680370851535
2016-10-31,-0.002593364723495196
2016-11-30,0.18418103559832252
2016-12-30,0.13413977631585072
2017-01-26,-0.08374485202384538
2017-02-28,0.12994110867834918
2017-03-31,0.1855844002367317
2017-04-28,0.16832327836012512
2017-05-31,-0.12987370915614474
2017-06-30,-0.050356985077680154
2017-07-31,-0.10441320663002131
2017-08-31,-0.04238779046192216
2017-09-29,-0.0359595916803023
2017-10-31,0.11202187962694804
2017-11-30,0.1541277479350125
2017-12-29,0.08332769252349154
2018-01-31,-0.16360644375580943
2018-02-28,-0.21064465500523863
2018-03-30,0.1315434138154657
2018-04-27,-0.025378144701014706
2018-05-31,0.18340525559097504
2018-06-29,-0.07744418937044645
2018-07-31,0.177365442732454
2018-08-31,-0.05262110511554752
2018-09-28,0.15471766493046332
2018-10-31,-0.3078239192458703
2018-11-30,0.22939517748010907
2018-12-28,0.14581647915684504
2019-01-31,-0.2373504080135867
2019-02-28,-0.0777773562039663
2019-03-29,-0.26763653285572675
2019-04-30,-0.02152077744461149
2019-05-31,-0.0723941812053941
2019-06-28,0.08029344987751079
2019-07-31,0.17480110030610363
2019-08-30,0.020760987685428726
2019-09-30,-0.01676358321965238
2019-10-31,-0.027137022616890237
2019-11-29,0.07438452190758356
2019-12-31,0.07619730189871854
2020-01-23,0.2054504859024958
2020-02-28,-0.46250118860810335
2020-03-31,0.29825767748917575
2020-04-30,-0.03485825952379101
2020-05-29,0.07173495744086214
2020-06-30,-0.01357490068008018
2020-07-31,-0.03958690917863567
2020-08-31,-0.11003043406219822
2020-09-30,0.1684626846651403
2020-10-30,0.005432363939798265
2020-11-30,0.20102573398890758
2020-12-31,0.12194844625726546
2021-01-29,-0.27017655755458425
2021-02-26,-0.1929614628127377
2021-03-31,0.012680767209151992
2021-04-30,-0.12761645032310748
2021-05-31,0.017027682238154367
2021-06-30,0.13767249160076875
2021-07-30,0.04189364075432708
2021-08-31,-0.28570621440625327
2021-09-30,-0.12626947198991556
2021-10-29,-0.19330045279546673
2021-11-30,-0.030053577488232747
2021-12-31,-0.3126583076172454
2022-01-28,-0.04447103901378881
2022-02-28,0.4378935762200832
2022-03-31,0.1780798164280083
2022-04-29,-0.4259533761903006
2022-05-31,-0.28507853473144296
2022-06-30,0.11452729323734533
2022-07-29,-0.2817375170436727
2022-08-31,-0.04457422843647671
2022-09-30,-0.14655222201866366
2022-10-31,-0.16700350408677558
2022-11-30,0.03207560954021371
2022-12-30,-0.039248691788006995
2023-01-31,0.07247252643089643
2023-02-28,0.20494369361207174
2023-03-31,-0.013438139557834768
2023-04-28,0.11476313243995755
2023-05-31,-0.26491609652550147
2023-06-30,-0.2124785299483591
2023-07-31,0.08915349630861685
2023-08-31,-0.08703518386850129
2023-09-28,-0.011162736133718237
2023-10-31,0.0326278936438524
2023-11-30,0.05186572090479295
2023-12-29,-0.014985852662731579
2024-01-31,-0.34573019181334114
2024-02-29,0.31025962885563513
2024-03-29,0.12375544496204136
2024-04-30,0.21135678740326097
2024-05-31,0.31970708254942615
2024-06-28,-0.17386233012883576
2024-07-31,-0.001474998367216174
2024-08-30,-0.21642931371725488
2024-09-30,0.07173649541055546
2024-10-31,0.10830603434068088
2024-11-29,-0.457056099115245
2024-12-31,-0.0035345949737088985
2025-01-27,-0.14483364835728338
2025-02-28,-0.272337495905617
2025-03-31,0.06875592978196528
2025-04-30,0.034137545377227574
2025-05-30,-0.21932574640006525
2025-06-30,-0.16586804268632477
2025-07-31,0.04697342124957589
2025-08-29,0.1515777484699326
2025-09-30,-0.3761587304185862
2025-10-31,-0.12305209183436953
